code,station,time,title
MH,Metal Heart Radio,2022-02-04 14:23:04,Death - Symbolic
RB,Rádio Beat,2022-02-04 14:23:18,DOORS - THE END
MH,Metal Heart Radio,2022-02-04 14:29:33,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-02-04 14:30:03, - Ranní sprcha - spot
MH,Metal Heart Radio,2022-02-04 14:30:18,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-02-04 14:30:48,Amon Amarth - Twilight Of The Thunder God
MH,Metal Heart Radio,2022-02-04 14:34:48,Rhapsody - Wings Of Destiny
RB,Rádio Beat,2022-02-04 14:35:02,Radio BEAT - Classic Rock
RB,Rádio Beat,2022-02-04 14:36:32,BON JOVI - LIVIN' ON A PRAYER
MH,Metal Heart Radio,2022-02-04 14:39:03,Moonspell - Opium
RB,Rádio Beat,2022-02-04 14:40:17,BON JOVI - HEARTS BREAKING EVEN
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 14:40:17,Nightwish - (02) Storytime
MH,Metal Heart Radio,2022-02-04 14:41:47,Krokus - Angel Of My Dreams
RB,Rádio Beat,2022-02-04 14:45:32,Radio BEAT - Classic Rock
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 14:45:33,Van Canto - (09) Battery
MH,Metal Heart Radio,2022-02-04 14:45:33,Kobra And The Lotus - Get the F*ck out of Here
RB,Rádio Beat,2022-02-04 14:46:17,STATUS QUO - WHAT YOU`RE PROPOSING
MH,Metal Heart Radio,2022-02-04 14:48:49,Marillion - That Time Of The Night
RB,Rádio Beat,2022-02-04 14:50:18,Radio BEAT - Classic Rock
RB,Rádio Beat,2022-02-04 14:50:49,STATUS QUO - LOVER OF THE HUMAN RACE
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 14:50:49,Black Sabbath - (05) Orchid
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 14:52:18,Tetania - (06) Dies Illa
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 14:53:18,Within Temptation - (05) Gatekeeper
RB,Rádio Beat,2022-02-04 14:54:32,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-02-04 14:54:48,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-02-04 14:55:04,Santa Cruz - Aiming High
MH,Metal Heart Radio,2022-02-04 14:59:18,"188 - YNGWIE J. MALMSTEEN -  I'm My Own Enemy [Fire &amp; Ice, 1992]"
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 15:00:04,Sirenia - (05) Asphyxia
RB,Rádio Beat,2022-02-04 15:02:47,EUROPE - THE FINAL COUNTDOWN
MH,Metal Heart Radio,2022-02-04 15:05:18,Asgaia - Sexual Magic
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 15:05:33,Epica - (01) Indigo - Prologue
RB,Rádio Beat,2022-02-04 15:06:49,URIAH HEEP - THE WIZARD
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 15:07:47,Lunatica - (02) The Edge Of Infinity
RB,Rádio Beat,2022-02-04 15:09:47,ROLLING STONES - ROUTE 66
MH,Metal Heart Radio,2022-02-04 15:10:18,Savage Messiah - Under No Illusions - GB
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 15:11:50,Dark Moor - (11) Vivaldis Winter (Bonus Track)
RB,Rádio Beat,2022-02-04 15:12:18,Radio BEAT - Classic Rock
RB,Rádio Beat,2022-02-04 15:13:02,IVAN HLAS - MILACKU VRAT SE
MH,Metal Heart Radio,2022-02-04 15:14:33,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-02-04 15:14:48,Thundermother - Sleep
RB,Rádio Beat,2022-02-04 15:16:17,AC/DC - HELLS BELLS
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 15:17:18,Katra - (09) Scars In My Heart
MH,Metal Heart Radio,2022-02-04 15:18:33,Popio&amp;#32
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 15:21:02,Symphonity - (02) Give Me Your Helping Hand
RB,Rádio Beat,2022-02-04 15:21:32,ROBERT PLANT - 29 PALMS
MH,Metal Heart Radio,2022-02-04 15:25:20,Stigmata - Sacred Spaces (Solve et Coagula)
